dir	html	js	css	cjs	data	fetch	shared	puml
databases/Teil02 FIAE/database/Datenbanken & SQL/SQL (allgemein)	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/SQL (allgemein)/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/SQL-Abfragen (über Basics hinaus)/JOINs (INNER-LEFT) praxisnah	1	1	1	1	2	1	0	databases/Teil02 FIAE/database/Datenbanken & SQL/SQL-Abfragen (über Basics hinaus)/JOINs (INNER-LEFT) praxisnah/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/Stored Procedures	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/Stored Procedures/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/Transaktionen	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/Transaktionen/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/Trigger	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/Trigger/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/UNION	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/UNION/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/UPDATE	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/UPDATE/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Modellierung & Diagramme/ERM (Entity-Relationship-Modell)	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Modellierung & Diagramme/ERM (Entity-Relationship-Modell)/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Modellierung & Diagramme/Relationales Datenmodell	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Modellierung & Diagramme/Relationales Datenmodell/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Aktivitätsdiagramm	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Aktivitätsdiagramm/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Klassdiagramm	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Klassdiagramm/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Sequenzdiagramm	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Sequenzdiagramm/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Use-Case-Diagramm	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Use-Case-Diagramm/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Zustandsdiagramm	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Zustandsdiagramm/__dokumentation/__02_plans/__use_case_diagram.puml
